Bolt,Cost,Total Qty,Qty Rec,Mfg/Matl,Vendor,Notes,Out to Quote,Order Date,Req Date,Conf Date,PO #,Locations
"M4 X 0.7 X 12 SOCKET FCHS, ", ,42,,  ,Monroe Fasteners,  , , , , , ,", 2x140.509, 8x243.501, 16x260.501, 16x270.501,"
M4 x 0.7 x 8 SOCKET SET SCREW,,12,,,,in NuLine stock,,,,,,", 12x540.505,"
"M4 X 0.7 X 16 HEX SHCS, ", ,221,,  ,Monroe Fasteners,  , , , , , ,", 40x134.507, 4x140.504, 4x218.503, 40x341.508, 3x343.505, 3x344.505, 96x472.502, 10x650.502, 3x655.502, 10x660.502, 0x665.502, 4x720.503, 4x750.501,"
"M4 X 0.7 X 16 SBHCS, ", ,56,,  ,Monroe Fasteners,  , , , , , ,", 28x121.502, 20x134.501, 4x243.503, 4x244.503,"
M4 X 0.7 X 16 SOCKET FCHS, ,80,,  ,Monroe Fasteners,  , , , , , ,", 16x124.501, 16x125.501, 16x126.501, 16x127.501, 16x128.501,"
"M4 X 0.7 X 20 HEX SHCS, ", ,194,,  ,Monroe Fasteners,  , , , , , ,", 60x113.501, 14x114.501, 14x115.501, 44x241.501, 24x250.501, 12x345.503, 18x471.501, 8x730.504,"
M4 X 0.7 X 20 SBHCS, ,0,,  ,Monroe Fasteners,  , , , , , ,","
M4 X 0.7 X 20 SOCKET FCHS, ,28,,  ,Monroe Fasteners,  , , , , , ,", 28x121.501,"
"M4 X 0.7 X 25 HEX SHCS, ", ,56,,  ,Monroe Fasteners,  , , , , , ,", 2x141.501, 4x242.501, 8x252.501, 2x253.501, 8x346.501, 12x650.503, 8x656.501, 12x660.503,"
"M4 X 0.7 X 30 SBHCS,",,4,,,,,,,,,,", 4x230.511,"
"M4 X 0.7 X 30 SOCKET FCHS, ", ,4,,  ,Monroe Fasteners,  , , , , , ,", 4x243.504,"
"M4 X 0.7 X 35 Hex SHCS,", ,32,,  ,Monroe Fasteners,  , , , , , ,", 8x341.501, 16x530.504, 8x640.501,"
"M4 X 0.7 X 40 HEX SHCS, ", ,80,,  ,Monroe Fasteners,  , , , , , ,", 4x223.502, 16x341.502, 32x530.501, 16x640.502, 4x650.504, 2x654.501, 4x660.504, 2x664.501,"
"M4 X 0.7 X 40 SBHCS,", ,14,,  ,Monroe Fasteners,  , , , , , ,", 10x134.503, 2x653.504, 2x663.504,"
M4 X 0.7 X 6 SBHCS, ,16,,  ,Monroe Fasteners,  , , , , , ,", 4x413.505, 4x423.505, 2x453.505, 2x463.505, 2x513.505, 2x523.505,"
"M4 X 0.7 X 6 SBHCS,", ,8,,  ,Monroe Fasteners,  , , , , , ,", 8x217.503,"
"M4 X 0.7 X 8 SBHCS,", ,29,,  ,Monroe Fasteners,  , , , , , ,", 20x134.502, 1x140.510, 4x331.503, 4x631.503,"
"M4 X 0.8 X 30 HEX SBHCS, ",,0,,,,,,,,,,","
"M5 X 0.8 X 10 SBHCS,",,16,,,,,,,,,,", 16x243.505,"
"M5 X 0.8 X 10 SOCKET FCHS, ", ,3,,  ,Monroe Fasteners,  , , , , , ,", 3x140.512,"
"M5 X 0.8 X 12 HEX SHCS, ", ,112,,  ,Monroe Fasteners,  , , , , , ,", 4x217.505, 8x218.504, 96x415.501, 2x530.502, 2x640.503,"
"M5 X 0.8 X 12 SBHCS, ", ,20,,  ,Monroe Fasteners,  , , , , , ,", 10x134.505, 4x243.506, 4x244.506, 2x655.503, 0x665.503,"
"M5 X 0.8 X 12 SOCKET FCHS,", ,44,,  ,Monroe Fasteners,  , , , , , ,", 12x180.501, 8x331.505, 4x343.507, 4x344.507, 8x631.505, 8x640.504,"
M5 X 0.8 X 12 SOCKET SSCP,,8,,,,,,,,,,", 8x342.516,"
M5 X 0.8 X 12 SOCKET SSFP,,52,,,,,,,,,,", 12x413.501, 12x423.501, 6x453.501, 6x463.501, 8x513.501, 8x523.501,"
"M5 X 0.8 X 16 HEX SHCS, ", ,70,,  ,Monroe Fasteners,  , , , , , ,", 12x245.501, 58x341.503,"
"M5 X 0.8 X 16 SBHCS, ", ,88,,  ,Monroe Fasteners,  , , , , , ,", 2x118.501, 2x119.501, 2x140.508, 4x214.501, 4x217.502, 6x219.501, 12x332.501, 12x333.501, 8x334.501, 14x632.502, 14x633.502, 8x634.501,"
"M5 X 0.8 X 16 SOCKET FCHS,",,18,,,,,,,,,,", 18x710.502,"
"M5 X 0.8 X 20 HEX SHCS, ", ,0,,  ,Monroe Fasteners,  , , , , , ,","
"M5 X 0.8 X 20 SBHCS, ", ,553,,  ,Monroe Fasteners,  , , , , , ,", 139x120.501, 2x140.502, 264x150.501, 108x210.501, 4x245.502, 24x290.501, 8x342.506, 2x343.508, 2x344.508,"
"M5 X 0.8 X 20 SOCKET FCHS, ", ,12,,  ,Monroe Fasteners,  , , , , , ,", 12x180.502,"
"M5 X 0.8 X 25 HEX SHCS, ", ,8,,  ,Monroe Fasteners,  , , , , , ,", 4x651.502, 4x652.502,"
"M5 X 0.8 X 25 SBHCS, ", ,0,,  ,Monroe Fasteners,  , , , , , ,","
"M5 X 0.8 X 30 HEX SHCS, ",,96,,,,,,,,,,", 32x342.507, 16x343.509, 16x344.509, 16x650.505, 16x660.505,"
"M5 X 0.8 X 30 SBHCS, ", ,12,,  ,Monroe Fasteners,  , , , , , ,", 6x120.502, 4x214.502, 1x332.510, 1x333.510,"
"M5 X 0.8 X 35 HEX SHCS, ", ,0,,  ,Monroe Fasteners,  , , , , , ,","
"M5 X 0.8 X 40 HEX SHCS, ", ,126,,  ,Monroe Fasteners,  , , , , , ,", 2x118.502, 2x119.502, 4x213.501, 6x219.502, 24x413.504, 24x423.504, 12x453.504, 12x463.504, 16x513.504, 16x523.504, 4x650.506, 4x660.506,"
"M5 X 0.8 X 45 HEX SHCS, ", ,12,,  ,Monroe Fasteners,  , , , , , ,", 12x122.502,"
"M5 X 0.8 X 5 HEX SOCKET CUP PT, ", ,0,,  ,Monroe Fasteners,  , , , , , ,","
"M5 X 0.8 X 5 SBHCS,", ,2,,  ,Monroe Fasteners,  , , , , , ,", 2x640.505,"
M5 X 0.8 X 6 SOCKET SSCP, ,14,,  ,Monroe Fasteners,  , , , , , ,", 6x244.504, 8x342.505,"
M6 X 1 HEX JAM NUT, ,462,,  ,Monroe Fasteners,  , , , , , ,", 2x332.507, 2x333.507, 100x413.502, 100x423.502, 50x453.502, 50x463.502, 74x513.502, 74x523.502, 4x632.508, 6x633.508,"
"M6 X 1.0 X 12 HEX SHCS, ", ,398,,  ,Monroe Fasteners,  , , , , , ,", 120x113.502, 24x114.502, 24x115.502, 36x211.501, 192x472.501, 2x730.501,"
"M6 X 1.0 X 12 SBHCS, ", ,11,,  ,Monroe Fasteners,  , , , , , ,", 4x243.507, 7x710.503,"
