Length,Extrusion,Description,Total Qty,Qty Cut,Cost,Mfg/Matl,Vendor,Notes,Out to Quote,Order Date,Req Date,Conf Date,PO #,Material Cost,Coating Cost,Misc Cost,Labor Hours,M/Stick,$/stick,$/mm,Locations,READY TO CUT?, 
318.92,"90X90, D17|D17, 318.92MM",Assy .470,8,8,41.98861932,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,25.73861932,0,0,0.25,6,484.2334,0.080705567,", 8x470.703,",YES, 
522,"90X90, D17|D17, 522MM",Assy .610,6,6,58.3783058,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,42.1283058,0,0,0.25,6,484.2334,0.080705567,", 6x610.703,",YES, 
550,"90X90, D17|D17, 550MM",Assy .810,2,10,60.63806167,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,44.38806167,0,0,0.25,6,484.2334,0.080705567,", 2x810.703,",YES, 
570.4,"90X90, D17|D17, 570.4MM",Assy .610,4,6,62.28445523,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,46.03445523,0,0,0.25,6,484.2334,0.080705567,", 4x610.702,",YES, 
586.67,"90X90, D17|D17, 586.67MM",Assy .310,6,6,63.5975348,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,47.3475348,0,0,0.25,6,484.2334,0.080705567,", 6x310.703,",YES,
590,"90X90, D17|D17, 590MM",Assy. 341,4,4,63.86628433,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,47.61628433,0,0,0.25,6,484.2334,0.080705567,", 2x341.704, 2x640.704,",YES,
722.8,"90X90, D17|D17, 722.8MM",Assy .310,4,6,74.58398359,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,58.33398359,0,0,0.25,6,484.2334,0.080705567,", 4x310.702,",YES,
732.57,"90X90, D17|D17, 732.57MM",Assy .470,4,4,75.37247697,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,59.12247697,0,0,0.25,6,484.2334,0.080705567,", 4x470.702,",YES,
735,"90X90, D17|D17, 735MM",Assy .110,18,18,75.5685915,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,59.3185915,0,0,0.25,6,484.2334,0.080705567,", 18x110.702,",YES,
750,"90X90, D17|D17, 750MM",Assy .210,2,2,76.779175,BOSCH,NULINE, ,N/A,44894,44970,44970,54598,60.529175,0,0,0.25,6,484.2334,0.080705567,", 2x210.705,",YES,
