,"Type","Date","Num","Name","Memo","Source Name","Account","Amount","Balance","Account Type"
"Parts",,,,,,,,,"",
"5245K12 (Retracting Air Hose Brass Male X Male, 18', 1/4"" ID, 170 PSI)",,,,,,,,,"",
,"Credit Card Charge","12/26/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",59.00,23591.88,"Expense"
,"Credit Card Charge","12/26/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",6.48,23598.36,"Expense"
,"Bill","12/27/2023","123-4558","General Films:GF12 - 2-Up Bag Machine",,"ProAutomation","51200 · Freight-Machinery",21.35,23619.71,"Cost of Goods Sold"
,"Credit Card Charge","12/28/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Bob Evans","64300 · Business Meals",15.72,23635.43,"Expense"
,"Credit Card Charge","12/28/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Texas Roudhouse","64300 · Business Meals",42.80,23678.23,"Expense"
,"Credit Card Charge","12/29/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Bob Evans","64300 · Business Meals",15.72,23693.95,"Expense"
,"Credit Card Charge","12/29/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Texas Roudhouse","64300 · Business Meals",52.24,23746.19,"Expense"
,"General Journal","12/29/2023","GF12WIP","General Films:GF12 - 2-Up Bag Machine",,"General Films:GF12 - 2-Up Bag Machine","50000 · COGS - Machinery",766828.36,790574.55,"Cost of Goods Sold"
,"Credit Card Charge","12/30/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Max & Ermas","64300 · Business Meals",22.90,790597.45,"Expense"
,"Credit Card Charge","12/30/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Day Dayton Marketplace","68400 · Travel Expense",18.25,790615.70,"Expense"
,"Credit Card Charge","12/30/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Home2 Suites","68400 · Travel Expense",624.03,791239.73,"Expense"
,"Credit Card Charge","12/30/2023",,"General Films:GF12 - 2-Up Bag Machine",,"National Car Rental","68400 · Travel Expense",508.53,791748.26,"Expense"
,"Bill","01/04/2024","19883112","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",10.30,791758.56,"Cost of Goods Sold"
"Total no item",,,,,,,,791758.56,791758.56,
"TOTAL",,,,,,,,791808.03,791808.03,
