,"Type","Date","Num","Name","Memo","Source Name","Account","Amount","Balance","Account Type"
"Parts",,,,,,,,,"",
"5245K12 (Retracting Air Hose Brass Male X Male, 18', 1/4"" ID, 170 PSI)",,,,,,,,,"",
,"Bill","09/07/2023","13941472","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",31.80,8245.70,"Cost of Goods Sold"
,"Bill","09/08/2023","6213988","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",70.00,8315.70,"Cost of Goods Sold"
,"Bill","09/11/2023","14070697","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",12.15,8327.85,"Cost of Goods Sold"
,"Bill","09/12/2023","6214094","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",22.50,8350.35,"Cost of Goods Sold"
,"Bill","09/13/2023","6214138","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",22.50,8372.85,"Cost of Goods Sold"
,"Bill","09/14/2023","14337905","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",10.35,8383.20,"Cost of Goods Sold"
,"Bill","09/15/2023","9001514196","General Films:GF12 - 2-Up Bag Machine",,"Murrelektronik, Inc.","51200 · Freight-Machinery",15.83,8399.03,"Cost of Goods Sold"
,"Bill","09/19/2023","14562319","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",11.43,8410.46,"Cost of Goods Sold"
,"Bill","09/20/2023","14624961","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",10.37,8420.83,"Cost of Goods Sold"
,"Credit Card Charge","09/21/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Sager Electronics","51200 · Freight-Machinery",17.52,8438.35,"Cost of Goods Sold"
,"Bill","09/22/2023","6214570","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",22.50,8460.85,"Cost of Goods Sold"
,"Bill","09/26/2023","2985848601","General Films:GF12 - 2-Up Bag Machine",,"Coyote, LLC","51200 · Freight-Machinery",1032.77,9493.62,"Cost of Goods Sold"
,"Bill","09/27/2023","15009447","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",24.26,9517.88,"Cost of Goods Sold"
,"Bill","09/27/2023","6214755","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",30.57,9548.45,"Cost of Goods Sold"
,"Bill","09/28/2023","6214893","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",22.50,9570.95,"Cost of Goods Sold"
,"Bill","09/29/2023","0058721","General Films:GF12 - 2-Up Bag Machine",,"Detailed Machining Inc.","51200 · Freight-Machinery",120.00,9690.95,"Cost of Goods Sold"
,"Bill","09/29/2023","0058722","General Films:GF12 - 2-Up Bag Machine",,"Detailed Machining Inc.","51200 · Freight-Machinery",120.00,9810.95,"Cost of Goods Sold"
,"Bill","10/02/2023","1850","General Films:GF12 - 2-Up Bag Machine",,"CRAVE Technical","51200 · Freight-Machinery",475.00,10285.95,"Cost of Goods Sold"
,"Bill","10/02/2023","6215108","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",22.50,10308.45,"Cost of Goods Sold"
,"Bill","10/03/2023","6215188","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",22.50,10330.95,"Cost of Goods Sold"
,"Bill","10/04/2023","LN30169305U4","General Films:GF12 - 2-Up Bag Machine",,"Misumi USA, Inc.","51200 · Freight-Machinery",21.29,10352.24,"Cost of Goods Sold"
,"Bill","10/05/2023","PSIN1235910","General Films:GF12 - 2-Up Bag Machine",,"L-COM","51100 · Freight-ConMfg-Gen",81.53,10433.77,"Cost of Goods Sold"
,"Bill","10/05/2023","15492353","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",9.78,10443.55,"Cost of Goods Sold"
,"Bill","10/05/2023","PSIN1236010","General Films:GF12 - 2-Up Bag Machine",,"L-COM","51100 · Freight-ConMfg-Gen",56.55,10500.10,"Cost of Goods Sold"
,"Bill","10/06/2023","6215333","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",22.50,10522.60,"Cost of Goods Sold"
,"Bill","10/06/2023","0058762","General Films:GF12 - 2-Up Bag Machine",,"Detailed Machining Inc.","51200 · Freight-Machinery",250.00,10772.60,"Cost of Goods Sold"
,"Bill","10/06/2023","15535698","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",9.54,10782.14,"Cost of Goods Sold"
,"Bill","10/09/2023","15625084","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",10.37,10792.51,"Cost of Goods Sold"
,"Bill","10/09/2023","CREDIT CARD","General Films:GF12 - 2-Up Bag Machine",,"Allfuses","51200 · Freight-Machinery",106.74,10899.25,"Cost of Goods Sold"
,"Bill","10/12/2023","6216793","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",50.00,10949.25,"Cost of Goods Sold"
,"Bill","10/13/2023","DG1048953","General Films:GF12 - 2-Up Bag Machine",,"Professional Plastics","51200 · Freight-Machinery",59.94,11009.19,"Cost of Goods Sold"
,"Bill","10/14/2023","5689429303","General Films:GF12 - 2-Up Bag Machine",,"Fed Ex Freight","51100 · Freight-ConMfg-Gen",221.01,11230.20,"Cost of Goods Sold"
